Food Environment Index,% With Access to Exercise Opportunities,% Uninsured,% Completed High School,% Some College,Average Daily PM2.5,Presence of Water Violation,% Food Insecure,Median Household Income,% Homeowners,Value
7.1,30,13,87,29,5.6,No,19,36836,73,142.1
7.9,30,17,87,40,7.5,No,15,52000,83,138.2
7.6,30,8,87,59,9.4,No,13,49649,77,204
8.9,30,5,93,65,8.2,No,9,54474,80,166.3
6.2,30,11,88,59,9.3,Yes,15,48336,71,258.9
7.5,30,11,93,70,6.7,No,12,50673,73,159.7
8.2,30,7,89,60,9.3,No,14,48623,79,235.4
6.2,30,8,76,37,7.9,Yes,19,36628,74,199.3
7.1,30,12,90,56,6.4,No,17,43694,77,169.7
8.6,30,6,92,63,7.2,No,8,73401,84,123.3
5.2,30,16,79,55,9.4,No,21,40985,73,234.3
7.2,30,14,86,54,7.8,No,14,48338,76,178.6
8.7,30,11,92,60,8.3,No,9,62679,84,159.8
7.3,30,11,91,65,8.6,No,12,58618,81,194.7
